passage_date,passage_time,passage_direction,species,body_depth,length_coefficient,total_length,life_stage,count,sex,ad_clip,fish_condition,id_certainty,silhouette_quality,video_quality,video_problems,vaki_trap,comments
2013-02-04T00:00:00Z,06:43:00,up,rbt,80,4.8,384,j,1,f,yes,good,vl,poor,fair,no,vaki,NA
2013-02-05T00:00:00Z,08:22:00,up,rbt,40,4.8,192,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-02-10T00:00:00Z,14:00:00,up,rbt,72,4.8,346,j,1,unk,no,good,p,fair,poor,tb,vaki,NA
2013-02-13T00:00:00Z,15:43:00,up,rbt,67,4.8,322,j,1,unk,no,good,p,fair,fair,tb,vaki,NA
2013-02-15T00:00:00Z,14:00:00,up,rbt,80,4.8,384,j,1,unk,yes,good,vl,fair,poor,tb,vaki,NA
2013-02-16T00:00:00Z,08:42:00,up,rbt,77,4.8,370,j,1,unk,no,good,vl,fair,poor,tb,vaki,NA
2013-02-25T00:00:00Z,13:11:00,up,rbt,50,4.8,240,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-02-28T00:00:00Z,07:02:00,up,rbt,47,4.8,226,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2013-03-01T00:00:00Z,06:52:00,up,rbt,50,4.8,240,j,1,unk,NA,good,p,poor,poor,no,vaki,NA
2013-03-01T00:00:00Z,11:11:00,up,rbt,57,4.8,274,j,1,unk,NA,good,p,poor,poor,no,vaki,NA
2013-03-01T00:00:00Z,12:59:00,up,rbt,50,4.8,240,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-03-01T00:00:00Z,17:40:00,up,rbt,55,4.8,264,j,1,unk,NA,good,p,poor,poor,no,vaki,NA
2013-03-02T00:00:00Z,06:39:00,up,rbt,55,4.8,264,j,1,unk,NA,good,p,poor,poor,no,vaki,NA
2013-03-03T00:00:00Z,06:27:00,up,rbt,50,4.8,240,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-03-03T00:00:00Z,15:38:00,up,rbt,65,4.8,312,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2013-03-04T00:00:00Z,06:32:00,up,rbt,52,4.8,250,j,1,unk,no,good,p,fair,fair,no,vaki,NA
